,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
1871,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,12600,10398,,,0
1995,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,13500,10423,,,0
2106,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,14400,10423,,,0
2270,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,15300,10428,,,0
2386,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,16200,10428,,,0
2505,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,17100,10459,,,0
2628,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,18000,10490,,,0
2777,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,18900,10491,,,0
2900,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,19800,10493,,,0
3020,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,20700,10498,,,0
3142,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,21600,10506,,,0
3315,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,22500,10508,,,0
3436,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,23400,10513,,,0
3545,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,24300,10526,,,0
3664,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,25200,10526,,,0
3837,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,26100,10543,,,0
3957,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,27000,10545,,,0
4098,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,27900,10545,,,0
4225,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,28800,10556,,,0
4341,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,29700,10559,,,0
4460,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,30600,10559,,,0
4582,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,31500,10560,,,0
4698,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,32400,10560,,,0
4859,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,33300,10560,,,0
4979,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,34200,10560,,,0
5107,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,35100,10564,,,0
5221,4a47f4b0c9e5fc7282fc8cbcfbd36e1d401ff3bb,/dev/shm/yoshida/experiment-data,aflpp-128kb-24h,aflpp,curl_curl_fuzzer_http,2024-03-29 07:53:16.738317,2024-03-30 08:03:33.455940,1,36000,10569,,,0
